Plant_Code,Plant_Name,Latitude,Longitude,Name_of_Water_Source,Primary_Purpose_NAICS_Code,Sector_Name,Grid_Voltage_kV
58124,RothschildBiomassCogenFacility,44.887778,-89.629722,WisconsinRiver,22,ElectricUtility,46
1769,PresqueIsle,46.5789,-87.395,LakeSuperior,22,ElectricUtility,138
1776,ChalkHill,45.5136,-87.8011,MenomineeRiver,22,ElectricUtility,69
1786,WhiteRapids,45.482084,-87.802178,MenomineeRiver,22,ElectricUtility,138
4042,Valley(WI),43.0303,-87.9233,MenomineeRiver,22,ElectricUtility,138
56068,ElmRoadGeneratingStation,42.8492,-87.8336,LakeMichigan,22,ElectricUtility,345
4041,SouthOakCreek,42.8457,-87.8294,LakeMichigan,22,ElectricUtility,230
7549,MilwaukeeCounty,43.046,-88.0281,Municipality,22,ElectricUtility,24.9
4043,Appleton,44.25393,-88.40956,FoxRiver,22,ElectricUtility,34.5
4040,PortWashingtonGeneratingStation,43.3842,-87.8689,LakeMichigan,22,ElectricUtility,138
6253,Germantown,43.1952,-88.1496,NA,22,ElectricUtility,138
7481,CityLight&Water,40.327952,-98.450252,NA,22,ElectricUtility,12.5
50936,WinnebagoCountyLandfillGas,44.083,-88.5411,NA,22,IPPCHP,24.9
8023,Columbia(WI),43.4864,-89.4203,WisconsinRiver,22,ElectricUtility,345
4053,Kilbourn,43.625845,-89.780764,WisconsinRiver,22,ElectricUtility,69
56347,CedarRidge,43.692647,-88.329742,NA,22,ElectricUtility,138
7203,SouthFondDuLac,43.7353,-88.496667,NA,22,ElectricUtility,138
57198,BentTreeWindFarmPhase1,43.724596,-93.450429,NA,22,ElectricUtility,161
4054,NelsonDeweyGeneratingStation,42.7225,-91.0085,MississippiRiver,22,ElectricUtility,138
55641,RiversideEnergyCenter,42.583056,-89.035833,Wells,22,ElectricUtility,138
4057,RockRiver,42.583094,-89.025915,RockRiver,22,ElectricUtility,138
4048,Blackhawk,42.50654,-89.032183,RockRiver,22,ElectricUtility,69
4059,Sheepskin,42.8347,-89.110833,NA,22,ElectricUtility,69
4056,PrairieDuSac,43.309932,-89.727778,WisconsinRiver,22,ElectricUtility,69
4050,Edgewater,43.715142,-87.705863,LakeMichigan,22,ElectricUtility,138
56166,SheboyganFalls,43.751826,-87.878056,NA,22,ElectricUtility,345
55135,AlliantEnergyNeenah,44.1936,-88.5064,NA,22,ElectricUtility,138
55836,IslandStreetPeakingPlant,44.2761,-88.2658,NA,22,ElectricUtility,34.5
56266,WPPIHartfordDG,43.3358,-88.4097,NA,22,ElectricUtility,24.9
55029,DePereEnergyCenter,44.44861,-88.07204,NA,22,ElectricUtility,138
7882,GlenmoreTurbines,44.3556,-87.9839,NA,22,ElectricUtility,24.9
4072,Pulliam,44.54,-88.0086,GreenBay,22,ElectricUtility,138
7602,OneidaCasino,44.4967,-88.1283,NA,22,ElectricUtility,24.9
56831,CraneCreekWindEnergyCenter,43.397778,-92.473611,NA,22,ElectricUtility,161
