Category,Illinois,Kentucky,Texas
Coal,977.1,1041.1,515.7
Natural Gas - Marketed,2.3,102.7,8695.5
Crude Oil,49.4,14.8,6729.3
Nuclear Electric Power,1031.3,0,440.1
Biofuels,218,4.9,53.4
Other Renewable Energy,128,70.3,645.7
